242,187,169,spring
254,213,152,spring
252,245,160,spring
218,226,109,spring
147,205,141,spring
81,192,173,spring
103,203,227,spring
151,193,225,spring
208,193,222,spring
248,188,207,spring
244,143,143,spring
246,149,69,spring
246,226,55,spring
172,209,88,spring
76,174,119,spring
36,179,146,spring
23,187,215,spring
75,180,213,spring
162,147,190,spring
243,137,158,spring
208,35,53,spring
241,122,49,spring
254,208,66,spring
92,168,71,spring
1,130,74,spring
0,151,135,spring
0,147,188,spring
12,126,173,spring
129,98,144,spring
235,58,104,spring
253,225,217,summer
244,220,186,summer
250,246,202,summer
222,232,186,summer
216,235,209,summer
189,226,217,summer
194,227,236,summer
205,217,229,summer
222,215,227,summer
252,225,227,summer
236,197,185,summer
241,194,159,summer
233,211,144,summer
211,216,141,summer
149,208,168,summer
128,203,199,summer
151,200,207,summer
169,207,226,summer
203,183,207,summer
217,187,198,summer
224,158,150,summer
231,178,94,summer
201,184,115,summer
171,187,122,summer
113,195,142,summer
108,178,170,summer
73,186,212,summer
122,172,200,summer
186,150,174,summer
212,160,176,summer
240,144,140,fall
236,167,98,fall
210,175,100,fall
150,156,94,fall
98,153,92,fall
77,158,120,fall
108,159,169,fall
126,158,180,fall
167,149,177,fall
196,147,158,fall
189,128,124,fall
169,128,108,fall
149,123,89,fall
128,144,91,fall
77,119,86,fall
63,122,131,fall
70,123,145,fall
92,113,142,fall
128,131,174,fall
167,128,130,fall
130,54,58,fall
130,81,56,fall
110,98,74,fall
79,99,73,fall
8,110,76,fall
17,91,108,fall
10,101,142,fall
26,83,143,fall
81,65,112,fall
127,79,97,fall
188,31,62,winter
230,81,37,winter
254,199,53,winter
71,164,72,winter
0,127,90,winter
0,143,156,winter
0,116,167,winter
49,96,155,winter
129,85,160,winter
214,48,108,winter
119,44,59,winter
87,60,54,winter
94,80,62,winter
70,76,60,winter
40,90,79,winter
47,83,89,winter
53,87,118,winter
54,69,124,winter
79,66,118,winter
109,50,67,winter
100,58,66,winter
81,60,57,winter
83,72,57,winter
77,76,65,winter
40,67,59,winter
39,71,79,winter
38,70,86,winter
42,51,70,winter
79,62,86,winter
89,59,69,winter
